LP,POLSKI,ŁACINA,PODŁOGA
112,Bażant,Phasianus colchicus,Phasianus_colchicus
113,Kopciuszek,Phoenicurus ochruros,Phoenicurus_ochruros
114,Pleszka,Phoenicurus phoenicurus,Phoenicurus_phoenicurus
115,Pierwiosnek,Phylloscopus collybita,Phylloscopus_collybita
116,Świstunka,Phylloscopus sibilatrix,Phylloscopus_sibilatrix
117,Piecuszek,Phylloscopus trochilus,Phylloscopus_trochilus
118,Sroka,Pica pica,Pica_pica
119,Dzięcioł Zielony,Picus viridis,Picus_viridis
120,Perkoz Dwuczuby,Podiceps cristatus,Podiceps_cristatus
121,Perkoz Rdzawoszyi,Podiceps grisegena,Podiceps_grisegena
122,Czarnogłówka,Poecile montanus,Poecile_montanus
123,Sikora Uboga,Poecile palustris,Poecile_palustris
124,Kropiatka,Porzana porzana,Porzana_porzana
125,Pokrzywnica,Prunella modularis,Prunella_modularis
126,Gil,Pyrrhula pyrrhula,Pyrrhula_pyrrhula
127,Wodnik,Rallus aquaticus,Rallus_aquaticus
128,Zniczek,Regulus ignicapilla,Regulus_ignicapilla
129,Mysikrólik,Regulus regulus,Regulus_regulus
130,Remiz,Remiz pendulinus,Remiz_pendulinus
131,Brzegówka,Riparia riparia,Riparia_riparia
132,Poklaskwa,Saxicola rubetra,Saxicola_rubetra
133,Słonka,Scolopax rusticola,Scolopax_rusticola
134,Kulczyk,Serinus serinus,Serinus_serinus
135,Kowalik,Sitta europaea,Sitta_europaea
136,Cyranka,Spatula querquedula,Spatula_querquedula
137,Czyż,Spinus spinus,Spinus_spinus
138,Rybitwa rzeczna,Sterna hirundo,Sterna_hirundo
139,Sierpówka,Streptopelia decaocto,Streptopelia_decaocto
140,Turkawka,Streptopelia turtur,Streptopelia_turtur
141,Puszczyk,Strix aluco,Strix_aluco
142,Szpak,Sturnus vulgaris,Sturnus_vulgaris
143,Pokrzewka Czarnołbista,Sylvia atricapilla,Sylvia_atricapilla
144,Gajówka,Sylvia borin,Sylvia_borin
145,Perkozek,Tachybaptus ruficollis,Tachybaptus_ruficollis
146,Głuszec,Tetrao urogallus,Tetrao_urogallus
147,Jarząbek,Tetrastes bonasia,Tetrastes_bonasia
148,Łęczak,Tringa glareola,Tringa_glareola
149,Kwokacz,Tringa nebularia,Tringa_nebularia
150,Krwawodziób,Tringa totanus,Tringa_totanus
151,Strzyżyk,Troglodytes troglodytes,Troglodytes_troglodytes
152,Droździk,Turdus iliacus,Turdus_iliacus
153,Kos,Turdus merula,Turdus_merula
154,Śpiewak,Turdus philomelos,Turdus_philomelos
155,Kwiczoł,Turdus pilaris,Turdus_pilaris
156,Paszkot,Turdus viscivorus,Turdus_viscivorus
157,Płomykówka,Tyto alba,Tyto_alba
158,Dudek,Upupa epops,Upupa_epops
159,Czajka,Vanellus vanellus,Vanellus_vanellus
160,Zielonka,Zapornia parva,Zapornia_parva
